-5.0 -3239.0 -5063.65
-4.9 -2933.252 -4580.776
-4.8 -2651.234 -4135.631
-4.7 -2391.532 -3725.956
-4.6 -2152.787 -3349.582
-4.5 -1933.698 -3004.431
-4.4 -1733.018 -2688.516
-4.3 -1549.556 -2399.932
-4.2 -1382.171 -2136.862
-4.1 -1229.776 -1897.569
-4.0 -1091.333 -1680.4
-3.9 -965.855 -1483.777
-3.8 -852.4 -1306.201
-3.7 -750.075 -1146.247
-3.6 -658.032 -1002.563
-3.5 -575.469 -873.869
-3.4 -501.624 -758.953
-3.3 -435.779 -656.671
-3.2 -377.256 -565.943
-3.1 -325.419 -485.754
-3.0 -279.667 -415.15
-2.9 -239.437 -353.236
-2.8 -204.205 -299.174
-2.7 -173.478 -252.183
-2.6 -146.798 -211.536
-2.5 -123.74 -176.556
-2.4 -103.909 -146.618
-2.3 -86.941 -121.143
-2.2 -72.502 -99.6
-2.1 -60.282 -81.501
-2.0 -50.0 -66.4
-1.9 -41.4 -53.892
-1.8 -34.25 -43.611
-1.7 -28.341 -35.226
-1.6 -23.483 -28.441
-1.5 -19.51 -22.994
-1.4 -16.274 -18.651
-1.3 -13.644 -15.21
-1.2 -11.507 -12.493
-1.1 -9.765 -10.35
-1.0 -8.333 -8.65
-0.9 -7.143 -7.287
-0.8 -6.136 -6.172
-0.7 -5.263 -5.235
-0.6 -4.488 -4.418
-0.5 -3.781 -3.681
-0.4 -3.12 -2.992
-0.3 -2.487 -2.331
-0.2 -1.872 -1.683
-0.1 -1.267 -1.04
-0.0 -0.667 -0.4
0.1 -0.066 0.24
0.2 0.539 0.883
0.3 1.154 1.531
0.4 1.786 2.192
0.5 2.448 2.881
0.6 3.155 3.618
0.7 3.93 4.435
0.8 4.802 5.372
0.9 5.81 6.487
1.0 7.0 7.85
1.1 8.431 9.55
1.2 10.174 11.693
1.3 12.311 14.41
1.4 14.941 17.851
1.5 18.177 22.194
1.6 22.15 27.641
1.7 27.007 34.426
1.8 32.917 42.811
1.9 40.067 53.092
2.0 48.667 65.6
2.1 58.948 80.701
2.2 71.168 98.8
2.3 85.608 120.343
2.4 102.576 145.818
2.5 122.406 175.756
2.6 145.464 210.736
2.7 172.144 251.383
2.8 202.872 298.374
2.9 238.104 352.436
3.0 278.333 414.35
3.1 324.086 484.954
3.2 375.923 565.143
3.3 434.445 655.871
3.4 500.29 758.153
3.5 574.135 873.069
3.6 656.699 1001.763
3.7 748.742 1145.447
3.8 851.066 1305.401
3.9 964.521 1482.977
4.0 1090.0 1679.6
4.1 1228.443 1896.769
4.2 1380.838 2136.062
4.3 1548.222 2399.132
4.4 1731.685 2687.716
4.5 1932.365 3003.631
4.6 2151.454 3348.782
4.7 2390.199 3725.156
4.8 2649.901 4134.831
4.9 2931.918 4579.976
5.0 3237.667 5062.85
